[2026-08-13 13:47:12] NEAR MISS - would be BUY 2/4, 1 short @ 4381.19 | RSI 44.1 | Trend(H1) UP | reasons: Price near support (4378.59), H1 trend is UP
[2026-08-13 14:51:54] NEAR MISS - would be BUY 2/4, 1 short @ 4380.24 | RSI 46.58 | Trend(H1) UP | reasons: Price near support (4378.59), H1 trend is UP
[2026-08-13 15:53:42] NEAR MISS - would be BUY 2/4, 1 short @ 4369.06 | RSI 40.65 | Trend(H1) UP | reasons: Price near support (4365.94), H1 trend is UP
[2026-08-13 16:50:35] NEAR MISS - would be BUY 2/4, 1 short @ 4365.49 | RSI 42.13 | Trend(H1) UP | reasons: Price near support (4364.91), H1 trend is UP
[2026-08-13 18:54:52] NEAR MISS - would be BUY 2/4, 1 short @ 4358.13 | RSI 40.73 | Trend(H1) UP | reasons: Price near support (4357.68), H1 trend is UP
[2026-08-13 19:53:29] NEAR MISS - would be BUY 2/4, 1 short @ 4352.35 | RSI 38.49 | Trend(H1) UP | reasons: Price near support (4351.80), H1 trend is UP
[2026-08-13 20:35:50] NEAR MISS - would be BUY 2/4, 1 short @ 4352.29 | RSI 40.48 | Trend(H1) UP | reasons: Price near support (4351.80), H1 trend is UP
[2026-08-13 21:27:39] NEAR MISS - would be BUY 2/4, 1 short @ 4351.47 | RSI 40.3 | Trend(H1) UP | reasons: Price near support (4348.39), H1 trend is UP
[2026-08-13 22:11:07] NEAR MISS - would be BUY 2/4, 1 short @ 4351.5 | RSI 40.43 | Trend(H1) UP | reasons: Price near support (4348.39), H1 trend is UP
[2026-08-13 23:01:25] NEAR MISS - would be BUY 2/4, 1 short @ 4354.24 | RSI 45.36 | Trend(H1) UP | reasons: Price near support (4351.80), H1 trend is UP
[2026-08-14 04:01:33] NEAR MISS - would be SELL 2/4, 1 short @ 4324.67 | RSI 40.0 | Trend(H1) UP | reasons: RSI healthy/bearish at 40.0, Price near resistance (4328.00)
[2026-08-14 05:44:58] NEAR MISS - would be SELL 2/4, 1 short @ 4319.23 | RSI 35.66 | Trend(H1) UP | reasons: RSI healthy/bearish at 35.7, Price near resistance (4322.51)
[2026-08-14 06:59:44] NEAR MISS - would be BUY 2/4, 1 short @ 4331.89 | RSI 51.78 | Trend(H1) UP | reasons: RSI healthy/bullish at 51.8, H1 trend is UP
[2026-08-14 08:21:11] NEAR MISS - would be BUY 2/4, 1 short @ 4346.6 | RSI 65.29 | Trend(H1) UP | reasons: RSI healthy/bullish at 65.3, H1 trend is UP
[2026-08-14 16:26:15] NEAR MISS - would be BUY 2/4, 1 short @ 4389.58 | RSI 60.88 | Trend(H1) UP | reasons: RSI healthy/bullish at 60.9, H1 trend is UP
[2026-08-14 18:24:04] NEAR MISS - would be BUY 2/4, 1 short @ 4377.44 | RSI 49.68 | Trend(H1) UP | reasons: Price near support (4376.56), H1 trend is UP
[2026-08-14 19:26:50] NEAR MISS - would be BUY 2/4, 1 short @ 4377.18 | RSI 49.45 | Trend(H1) UP | reasons: Price near support (4376.56), H1 trend is UP
[2026-08-14 20:03:04] NEAR MISS - would be BUY 2/4, 1 short @ 4375.04 | RSI 47.08 | Trend(H1) UP | reasons: Price near support (4372.54), H1 trend is UP
[2026-08-14 20:43:58] NEAR MISS - would be BUY 2/4, 1 short @ 4374.33 | RSI 46.89 | Trend(H1) UP | reasons: Price near support (4372.54), H1 trend is UP
[2026-08-16 22:44:36] NEAR MISS - would be BUY 2/4, 1 short @ 4375.04 | RSI 42.7 | Trend(H1) UP | reasons: Price near support (4372.16), H1 trend is UP
[2026-08-16 23:24:02] NEAR MISS - would be BUY 2/4, 1 short @ 4381.49 | RSI 65.02 | Trend(H1) UP | reasons: RSI healthy/bullish at 65.0, H1 trend is UP
